Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741134252,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,11.80%,"2.533GiB / 15.48GiB",16.37%,"4.31MB / 6.38MB","0B / 0B",1433
1741134252,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.78%,"117.7MiB / 15.48GiB",0.74%,"8.77MB / 10.1MB","0B / 0B",38
1741134252,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,99.01%,"78.51MiB / 1GiB",7.67%,"5.65MB / 3.83MB","0B / 0B",27
1741134252,469747e068cc,reverse-proxy-controller-1,469747e068cc,3.02%,"888.4MiB / 15.48GiB",5.61%,"3.59MB / 683kB","0B / 0B",248
1741134262,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134262,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,12.22%,"2.536GiB / 15.48GiB",16.39%,"4.72MB / 6.92MB","0B / 0B",1430
1741134262,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.66%,"117.5MiB / 15.48GiB",0.74%,"9.58MB / 11MB","0B / 0B",38
1741134262,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.66%,"77.93MiB / 1GiB",7.61%,"6.15MB / 4.19MB","0B / 0B",30
1741134262,469747e068cc,reverse-proxy-controller-1,469747e068cc,3.70%,"889.5MiB / 15.48GiB",5.61%,"3.74MB / 727kB","0B / 0B",248
1741134274,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134274,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,9.14%,"2.539GiB / 15.48GiB",16.40%,"5.12MB / 7.47MB","0B / 0B",1430
1741134274,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.78%,"117.5MiB / 15.48GiB",0.74%,"10.4MB / 11.9MB","0B / 0B",38
1741134274,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.15%,"76.66MiB / 1GiB",7.49%,"6.62MB / 4.53MB","0B / 0B",31
1741134274,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.12%,"890.7MiB / 15.48GiB",5.62%,"3.9MB / 769kB","0B / 0B",248
1741134284,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134284,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,9.46%,"2.543GiB / 15.48GiB",16.43%,"5.52MB / 8MB","0B / 0B",1430
1741134284,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.75%,"117.6MiB / 15.48GiB",0.74%,"11.2MB / 12.8MB","0B / 0B",38
1741134284,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,99.43%,"77.99MiB / 1GiB",7.62%,"7.1MB / 4.87MB","0B / 0B",27
1741134284,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.98%,"891.4MiB / 15.48GiB",5.62%,"4.04MB / 802kB","0B / 0B",248
1741134296,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134296,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,8.40%,"2.548GiB / 15.48GiB",16.46%,"5.92MB / 8.55MB","0B / 0B",1430
1741134296,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.75%,"118.7MiB / 15.48GiB",0.75%,"11.9MB / 13.7MB","0B / 0B",38
1741134296,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.10%,"76.82MiB / 1GiB",7.50%,"7.57MB / 5.21MB","0B / 0B",29
1741134296,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.02%,"892MiB / 15.48GiB",5.63%,"4.2MB / 839kB","0B / 0B",248
1741134308,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
